Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:3 THR:0.5 hard,FP1-F3,5.7114560730730135,3.0139560311465954e-05,1.2071797639262405,0.9064794732032958,42.92950096957992
DB4 LVL:3 THR:0.5 hard,F3-C3,8.026638136917214,1.7842003052218905e-05,1.6848775792635118,0.9378795073369074,35.08929423493924
DB4 LVL:3 THR:0.5 soft,FP1-F7,5.229398002703709,3.1503334755495133e-05,1.1425272886890485,0.9024471423215341,44.13926392531241
DB4 LVL:3 THR:0.5 soft,F7-T7,4.6177451969900885,2.511836479418267e-05,1.9670420271680564,0.8830774531441401,47.503600440107675
DB4 LVL:3 THR:0.5 soft,T7-P7,3.73724757786619,3.0369147000772842e-05,2.3749327762280297,0.8635096762116758,51.03741585443614
DB4 LVL:3 THR:0.5 soft,P7-O1,4.66520512149601,2.609034080644101e-05,2.0231404765607466,0.8846728098571117,47.23468439678353
DB4 LVL:3 THR:0.5 soft,FP1-F3,5.696685956219203,3.0159216341806967e-05,1.2079670468799921,0.9064160626075813,42.95749817872506
DB4 LVL:3 THR:0.5 soft,F3-C3,8.010322127146319,1.7860619149306523e-05,1.686635557025567,0.9377785014845542,35.12590591504611
DB4 LVL:3 THR:1.0 hard,FP1-F7,5.241203277785772,3.149300702145426e-05,1.1421527341200288,0.9024275865944811,44.1247937562932
DB4 LVL:3 THR:1.0 hard,F7-T7,4.682719540690189,2.507858134437658e-05,1.963926548975287,0.883094846020543,47.428362377470926
DB4 LVL:3 THR:1.0 hard,T7-P7,3.7851294110545908,3.033960185318774e-05,2.3726222819827822,0.8634841890399885,50.98776322561046
DB4 LVL:3 THR:1.0 hard,P7-O1,4.676122780872945,2.6082187269657242e-05,2.0225082214891574,0.8846876221079357,47.21992300521889
DB4 LVL:3 THR:1.0 hard,FP1-F3,5.707298615113117,3.0149342734701455e-05,1.207571579309412,0.906419273846833,42.94343463494973
DB4 LVL:3 THR:1.0 hard,F3-C3,8.020458644153054,1.7852039173007995e-05,1.6858253223420678,0.937809172221785,35.109031951288415
DB4 LVL:3 THR:1.0 soft,FP1-F7,5.211586429429531,3.153732093923302e-05,1.1437598611344835,0.9022800791505828,44.18688190434427
DB4 LVL:3 THR:1.0 soft,F7-T7,4.529286648215146,2.5230949032461985e-05,1.9758586014198727,0.8822552629532352,47.71651862625939
DB4 LVL:3 THR:1.0 soft,T7-P7,3.6754861490445636,3.0451582151977046e-05,2.381379382795649,0.8629571004424977,51.17595372950141
DB4 LVL:3 THR:1.0 soft,P7-O1,4.648229868356424,2.6118291030159122e-05,2.025307839162583,0.8844443863403656,47.28528626534243
DB4 LVL:3 THR:1.0 soft,FP1-F3,5.679536513010563,3.0193598402846487e-05,1.2093441515192127,0.9062274444963115,43.00647051632651
DB4 LVL:3 THR:1.0 soft,F3-C3,7.988701642652616,1.789401682015951e-05,1.689789406212518,0.9375507480055886,35.19158804142465
DB4 LVL:3 THR:2.0 hard,FP1-F7,5.229171811485966,3.1523588103429246e-05,1.143261814188702,0.9022328129691897,44.16764085355741
DB4 LVL:3 THR:2.0 hard,F7-T7,4.637400470526865,2.515845565803475e-05,1.970181579234789,0.8823546627248414,47.5794198811156
DB4 LVL:3 THR:2.0 hard,T7-P7,3.754874245715823,3.039851945614603e-05,2.377229765569953,0.8629590011631914,51.086778262261056
DB4 LVL:3 THR:2.0 hard,P7-O1,4.663285794393798,2.6108673054074582e-05,2.0245620261100212,0.8844426618260208,47.26787361181447
DB4 LVL:3 THR:2.0 hard,FP1-F3,5.6941487245037585,3.0182760582213357e-05,1.2089100643056576,0.906204089689829,42.99103358803127
DB4 LVL:3 THR:2.0 hard,F3-C3,7.9993866948453825,1.7888280330364654e-05,1.6892476910804928,0.9375474138340922,35.18030627122775
DB4 LVL:3 THR:2.0 soft,FP1-F7,5.1789845750267105,3.160910579125399e-05,1.1463632728997777,0.9018712934825739,44.287459527436695
DB4 LVL:3 THR:2.0 soft,F7-T7,4.360649020277787,2.5493242867046743e-05,1.9963990705277495,0.8800145108741139,48.212566104593
DB4 LVL:3 THR:2.0 soft,T7-P7,3.5598727205516707,3.06429715235748e-05,2.3963464443208746,0.8614240275119549,51.49759657801821
DB4 LVL:3 THR:2.0 soft,P7-O1,4.618395910048285,2.6175398298867045e-05,2.0297361457027683,0.8839344364351717,47.38867486552182
DB4 LVL:3 THR:2.0 soft,FP1-F3,5.648412662362303,3.0264730459557038e-05,1.212193203679896,0.905797373243122,43.10778797636796
DB4 LVL:3 THR:2.0 soft,F3-C3,7.949099005221754,1.7961129193536402e-05,1.6961270429040343,0.9370684786237985,35.3235757901844
DB4 LVL:3 THR:3.0 hard,FP1-F7,5.215576291941277,3.155877153107788e-05,1.144537806921223,0.9020057943402315,44.21693628881317
DB4 LVL:3 THR:3.0 hard,F7-T7,4.580456872995473,2.5264885992133847e-05,1.9785162356447055,0.8813369844946275,47.7806998651901
DB4 LVL:3 THR:3.0 hard,T7-P7,3.7204187843343526,3.0468627293128354e-05,2.382712349585748,0.8623193551004146,51.20459924783668
DB4 LVL:3 THR:3.0 hard,P7-O1,4.649933686452814,2.6137218147688174e-05,2.02677551709986,0.8841741433948019,47.31955244950837
DB4 LVL:3 THR:3.0 hard,FP1-F3,5.679723820479827,3.022027782811121e-05,1.210412742499304,0.9059592097617616,43.04447154888749
DB4 LVL:3 THR:3.0 hard,F3-C3,7.976749512730148,1.7928025214427326e-05,1.6930009279705232,0.9372569882921709,35.25847125792386
DB4 LVL:3 THR:3.0 soft,FP1-F7,5.15042230755607,3.167761692228666e-05,1.1488479570575438,0.9014519235970464,44.38345034612123
DB4 LVL:3 THR:3.0 soft,F7-T7,4.203442372411301,2.5777643731571097e-05,2.018670761287328,0.8773239292298156,48.75042217698809
DB4 LVL:3 THR:3.0 soft,T7-P7,3.4525248940839486,3.085456530200869e-05,2.4128935340246382,0.8595238493090619,51.85319430560229
DB4 LVL:3 THR:3.0 soft,P7-O1,4.593308235483357,2.6228088363274777e-05,2.0338219260613584,0.8834412830174181,47.48406643520691
DB4 LVL:3 THR:3.0 soft,FP1-F3,5.622221923167308,3.032860187958702e-05,1.2147514455705082,0.9053944466621062,43.198763695979316
DB4 LVL:3 THR:3.0 soft,F3-C3,7.917711115835699,1.801667847649187e-05,1.7013727398766165,0.9366595898538937,35.43282278047239
DB4 LVL:3 THR:4.0 hard,FP1-F7,5.202099528167468,3.159396272452909e-05,1.145814081295082,0.9017771413632958,44.26624260472053
DB4 LVL:3 THR:4.0 hard,F7-T7,4.512169322181747,2.539801206190787e-05,1.988941459432277,0.8800333876404243,48.032466557748506
DB4 LVL:3 THR:4.0 hard,T7-P7,3.6796311265999595,3.055594915007816e-05,2.389541107079198,0.8615017098965856,51.351349564077545
DB4 LVL:3 THR:4.0 hard,P7-O1,4.636484001714002,2.6166480246073137e-05,2.0290446072628026,0.8838964671502202,47.37252937274044
DB4 LVL:3 THR:4.0 hard,FP1-F3,5.665921440657405,3.0256686019214078e-05,1.2118709997229113,0.9057195257302545,43.09632981951583
